Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check
"Jackson, Jesse",JacksonJesse,Political and Military History,41,,,,pmh,pmh
"Kemp, Jack",KempJack,Political and Military History,41,images/90.jpg,Former United States Secretary of Housing and Urban Development,"Jack French Kemp was an American politician and a professional player in both American football and Canadian football. A member of the Republican Party from New York, he served as Housing Secretary in the administration of President George H. W. ",img,pmh
"Martinez, Leopoldo",MartinezLeopoldo,Cultural and Community Life,41,,,,ccl,ccl
"Townsend, Harry",TownsendHarry,Political and Military History,41,,,,pmh,pmh
"Nickerson, George Hathaway",NickersonGeorgeHathaway,Work and Industry,40,,Photographer,,wi,wi
"Pflaeging, Sascha",PflaegingSascha,Political and Military History,40,,,,pmh,pmh
"Berryman, Clifford",BerrymanClifford,Political and Military History,39,images/93.jpg,Cartoonist,"Clifford Kennedy Berryman was a Pulitzer Prizeâ€“winning cartoonist with The Washington Star newspaper from 1907 to 1949. He was previously a cartoonist for The Washington Post from 1891 to 1907.
",img,pmh
"Drew, Ed",DrewEd,Work and Industry,39,images/94.jpg,Canadian singer-songwriter,"Justin Drew Bieber is a Canadian singer, songwriter and multi-instrumentalist. Discovered at age 13 by talent manager Scooter Braun after he had watched his YouTube cover song videos, Bieber was signed to RBMG Records in 2008. ",img,wi
"Dunn, Harvey Thomas",DunnHarveyThomas,Political and Military History,39,images/95.jpg,American painter,"Harvey Thomas Dunn NA was an American painter and teacher. He is best known for his prairie-intimate masterpiece, The Prairie is My Garden. ",img,pmh
"Glenn, John",GlennJohn,Political and Military History,39,images/96.jpg,Former United States Senator,"John Herschel Glenn Jr. was a United States Marine Corps aviator, engineer, astronaut, businessman and politician. He was the first American to orbit the Earth, circling it three times in 1962. ",img,pmh
"Presley, Elvis",PresleyElvis,Cultural and Community Life,39,images/97.jpg,American singer,"Elvis Aaron Presley, also known simply as Elvis, was an American singer, musician and actor. He is regarded as one of the most significant cultural icons of the 20th century and is often referred to as the ""King of Rock and Roll"" or simply ""the King"". ",img,ccl
"Rushton, Charles R.",RushtonCharlesR,Work and Industry,39,,,,wi,wi
"Child, Julia",ChildJulia,Cultural and Community Life,38,images/98.jpg,American cook,"Julia Carolyn Child was an American cooking teacher, author, and television personality. She is recognized for bringing French cuisine to the American public with her debut cookbook, Mastering the Art of French Cooking, and her subsequent television programs, the most notable of which was The French Chef, which premiered in 1963. ",img,ccl
"Kennedy, Jacqueline Bouvier",KennedyJacquelineBouvier,Political and Military History,38,images/99.jpg,Former First Lady of the United States,"Jacqueline Lee Kennedy Onassis was an American journalist who became First Lady of the United States as the wife of President John F. Kennedy. During her lifetime, Jacqueline Kennedy was regarded as an international fashion icon. ",img,pmh
"Kucinich, Dennis",KucinichDennis,Political and Military History,38,images/100.jpg,Former U.S. Representative,"Dennis John Kucinich is an American politician. A U.S. Representative from Ohio from 1997 to 2013, he was also a candidate for the Democratic nomination for president of the United States in 2004 and 2008. ",img,pmh
"Wilson, Woodrow",WilsonWoodrow,Political and Military History,38,images/101.jpg,28th U.S. President,Thomas Woodrow Wilson was an American politician and academic who served as the 28th president of the United States from 1913 to 1921. ,img,pmh
"Rudin, Bainet",RudinBainet,Cultural and Community Life,37,,,,ccl,ccl
"Card, Jr., Solomon A.",CardJrSolomonA,Political and Military History,36,,,,pmh,pmh
"Dean, Howard",DeanHoward,Political and Military History,36,,,,pmh,pmh
"Morgan, Wallace",MorganWallace,Political and Military History,36,,American actor,"Morgan Wallace, was an American actor. He appeared in more than 120 films between 1914 and 1946, including W.C. Fields' It's a Gift where he persistently asks Fields for some ""Kumquats"". He supported Fields again in My Little Chickadee.
",pmh,pmh
"Rathbone, Sarah",RathboneSarah,Cultural and Community Life,36,,,,ccl,ccl
"Rose, Di Dootson",RoseDiDootson,Cultural and Community Life,36,,,,ccl,ccl
"Unger, William",UngerWilliam,Work and Industry,36,,,,wi,wi
"Willkie, Wendell L.",WillkieWendellL,Political and Military History,36,images/106.jpg,American lawyer,"Wendell Lewis Willkie was an American lawyer, corporate executive, and the 1940 Republican nominee for President of the United States. ",img,pmh
"Barmes, Elizabeth",BarmesElizabeth,Political and Military History,35,,,,pmh,pmh
"Giuliani, Rudy",GiulianiRudy,Political and Military History,35,images/107.jpg,Former Mayor of New York City,"Rudolph William Louis Giuliani KBE, is an American attorney and politician who served as the 107th Mayor of New York City from 1994 to 2001. Politically a Democrat and then Independent in the 1970s, Giuliani has been a Republican since the 1980s. ",img,pmh
"Mennie, Donald",MennieDonald,Work and Industry,35,,Businessman,"Donald Mennie was a Scottish businessman and amateur photographer who worked in early twentieth century China.
Mennie was born in Golspie, Sutherland, Scotland in 1875, the son of Adam Mennie, a druggist, and his wife, Barbara Macleod. ",wi,wi
"Agate, A. T.",AgateAT,Work and Industry,34,,,,wi,wi
